n_combination,best_combination,best_portfolio_weights,max_return,timestamp
38,"('CAH', 'PGR', 'VLO', 'IR', 'CF', 'MRO', 'FANG', 'GE', 'AVGO', 'CBOE', 'EQT', 'ORCL', 'HES', 'BKR', 'EG', 'FICO', 'XOM', 'LMT', 'VRTX', 'ORLY', 'TDG', 'PANW', 'CTAS', 'LVS', 'MMC', 'OXY', 'IRM', 'MNST', 'HAL', 'AMGN', 'TMUS', 'TAP', 'PKG', 'NOC', 'ACGL', 'BSX', 'TRGP', 'SNA')","(0.00500000000000089, 0.005000000000000257, 0.005, 0.005000000000000041, 0.005, 0.005, 0.005000000000000422, 0.005, 0.005, 0.005000000000000481, 0.22500000000000037, 0.0050000000000001415, 0.005000000000000294, 0.005000000000000182, 0.005, 0.3, 0.005000000000000128, 0.005, 0.005000000000000081, 0.005000000000000119, 0.005, 0.005, 0.005, 0.005, 0.005, 0.3, 0.005, 0.005, 0.005, 0.005, 0.005000000000000033, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005)",0.427064618511275,2023-11-11 12:36:41.979972
12,"('SNA', 'BKR', 'CDNS', 'CBOE', 'LLY', 'CPRT', 'VRTX', 'PGR', 'RCL', 'OXY', 'NUE', 'MPC')","(0.01, 0.010000000000000139, 0.010000000000000037, 0.01, 0.3, 0.01, 0.01999999999999992, 0.010000000000000002, 0.01, 0.3, 0.01, 0.3)",0.4423300864015312,2023-11-11 12:56:41.705070
22,"('HII', 'MPC', 'PKG', 'TJX', 'RCL', 'STLD', 'LLY', 'OXY', 'NOC', 'CF', 'GL', 'HAL', 'CMG', 'PCG', 'COR', 'ACGL', 'ORCL', 'AZO', 'CTRA', 'COP', 'TMUS', 'CDNS')","(0.01, 0.3, 0.01000000000000003, 0.010000000000000458, 0.01, 0.009999999999999995, 0.2544415648932148, 0.2555584351067862, 0.010000000000000231, 0.01, 0.01000000000000001, 0.01, 0.01, 0.01, 0.010000000000000198, 0.010000000000000002, 0.01, 0.010000000000000068, 0.01000000000000007, 0.010000000000000092, 0.01000000000000005, 0.010000000000000325)",0.4183455930683946,2023-11-11 12:57:50.343436
31,"('ANET', 'HWM', 'PCAR', 'HAL', 'PKG', 'SNA', 'MPC', 'BKR', 'IRM', 'PWR', 'PSX', 'AJG', 'CTRA', 'AVGO', 'ACGL', 'DHI', 'FICO', 'OXY', 'ETN', 'KLAC', 'URI', 'WRB', 'EOG', 'PH', 'AXON', 'HES', 'IT', 'CVX', 'MRK', 'NUE', 'HUBB')","(0.005, 0.005, 0.005000000000000404, 0.005000000000000138, 0.005000000000000044, 0.005, 0.3, 0.005, 0.005, 0.005, 0.0050000000000000105, 0.005, 0.005, 0.005, 0.005, 0.005, 0.3, 0.2600000000000016, 0.005000000000000159, 0.005, 0.005, 0.005, 0.005, 0.005000000000000072, 0.005, 0.005000000000000067, 0.005, 0.005, 0.005, 0.00500000000000001, 0.005000000000000224)",0.4441668863028295,2023-11-11 13:01:01.307000
34,"('CAT', 'MPC', 'CPRT', 'DHI', 'EOG', 'PGR', 'RCL', 'AJG', 'IT', 'TJX', 'URI', 'PWR', 'ORCL', 'CTAS', 'IRM', 'FICO', 'MAR', 'WRB', 'STLD', 'ETN', 'GE', 'FSLR', 'GWW', 'PHM', 'PSX', 'IR', 'MSI', 'PCAR', 'PANW', 'CDNS', 'TRGP', 'KLAC', 'HII', 'CAH')","(0.005, 0.29999999999999993, 0.005000000000000876, 0.005000000000000054, 0.00500000000000016, 0.0050000000000000044, 0.005, 0.005, 0.005000000000000244, 0.005000000000000174, 0.005, 0.005000000000000007, 0.005000000000000062, 0.005, 0.0050000000000002195, 0.29999999999999866, 0.005, 0.005, 0.005000000000000185, 0.005, 0.005000000000000064, 0.005, 0.005, 0.005, 0.005, 0.005000000000000162, 0.0050000000000002065, 0.005000000000000067, 0.005000000000000101, 0.00500000000000029, 0.005, 0.005000000000000054, 0.005, 0.24499999999999977)",0.4229334270619597,2023-11-11 13:02:56.488724
41,"('GD', 'MRK', 'CPRT', 'CF', 'HII', 'LLY', 'MRO', 'MPC', 'IRM', 'CDNS', 'SNA', 'LMT', 'ORCL', 'RCL', 'BKNG', 'BSX', 'ACGL', 'LIN', 'CMG', 'AZO', 'PWR', 'HWM', 'PCAR', 'MCK', 'GE', 'PH', 'MNST', 'XOM', 'VLO', 'AJG', 'TRGP', 'PXD', 'DHI', 'WAB', 'AXON', 'FICO', 'LVS', 'KLAC', 'CVX', 'STLD', 'NOC')","(0.005, 0.005000000000000204, 0.005, 0.005, 0.005, 0.2099999999999997, 0.005000000000000273, 0.2999999999999993, 0.005000000000000292, 0.005000000000000146, 0.005, 0.005, 0.005, 0.005000000000000188, 0.005000000000000187, 0.005000000000000271, 0.005, 0.005000000000000133, 0.005, 0.005, 0.005000000000000127, 0.005, 0.005, 0.005000000000000174, 0.005000000000000278, 0.005, 0.005000000000000338, 0.005, 0.005000000000000243, 0.0050000000000001935, 0.005, 0.0050000000000003245, 0.005000000000000299, 0.0050000000000001285, 0.005000000000000084, 0.29999999999999943, 0.005000000000000123, 0.005000000000000282, 0.00500000000000016, 0.005, 0.005000000000000094)",0.4290666673564487,2023-11-11 13:09:40.552151
42,"('AMGN', 'CVX', 'CBOE', 'CTRA', 'TAP', 'ORCL', 'VRTX', 'LVS', 'COP', 'RSG', 'PHM', 'WMB', 'BKNG', 'AZO', 'OXY', 'HAL', 'PSX', 'LW', 'MPC', 'HES', 'SNA', 'EG', 'REGN', 'MCK', 'GD', 'TRGP', 'MRO', 'BSX', 'PANW', 'PH', 'NOC', 'STLD', 'MMC', 'APA', 'LLY', 'SNPS', 'PCG', 'NUE', 'COR', 'URI', 'ACGL', 'CDNS')","(0.005000000000000458, 0.0050000000000001606, 0.005, 0.005, 0.005, 0.0050000000000003705, 0.005000000000000205, 0.005, 0.005, 0.005, 0.005000000000000005, 0.0050000000000000235, 0.005000000000000197, 0.005000000000000404, 0.25324611715040496, 0.005, 0.005000000000000106, 0.005000000000000377, 0.29999999999999893, 0.005000000000000129, 0.005000000000000022, 0.005, 0.0050000000000001606, 0.005, 0.005000000000000264, 0.005, 0.005000000000000328, 0.005000000000000114, 0.005000000000000128, 0.005000000000000072, 0.005, 0.00500000000000021, 0.005, 0.005000000000000254, 0.2517538828495936, 0.005, 0.005000000000000023, 0.0050000000000000435, 0.005, 0.005000000000000319, 0.005000000000000262, 0.0050000000000002265)",0.4194329306833773,2023-11-11 13:10:50.325517
19,"('CTAS', 'NUE', 'CDNS', 'GWW', 'CPRT', 'WMB', 'ANET', 'OXY', 'URI', 'PHM', 'EQT', 'SLB', 'AZO', 'XOM', 'FICO', 'HII', 'SNPS', 'APA', 'VLO')","(0.01, 0.010000000000000234, 0.010000000000000182, 0.01, 0.01, 0.010000000000000366, 0.01, 0.3, 0.01, 0.01000000000000005, 0.2400000000000006, 0.010000000000000037, 0.010000000000000018, 0.01, 0.3, 0.01, 0.01, 0.01, 0.010000000000000035)",0.4339284409948268,2023-11-11 13:25:55.062562
27,"('SNPS', 'TAP', 'HII', 'MPC', 'ACGL', 'HES', 'TRGP', 'LMT', 'GE', 'PSX', 'APA', 'CAH', 'BKR', 'FICO', 'CI', 'MRO', 'STLD', 'PH', 'COP', 'TMUS', 'RCL', 'EQT', 'PCAR', 'NVDA', 'SNA', 'MSI', 'VLO')","(0.010000000000000004, 0.010000000000000052, 0.01, 0.3, 0.01, 0.010000000000000477, 0.01, 0.010000000000000028, 0.01, 0.01, 0.01, 0.010000000000000163, 0.010000000000000162, 0.3, 0.01, 0.01, 0.01000000000000024, 0.01, 0.01, 0.01, 0.01, 0.1599999999999999, 0.01, 0.01, 0.010000000000000061, 0.010000000000000217, 0.01)",0.4253130617693419,2023-11-11 13:27:54.561442
28,"('TT', 'MMC', 'APA', 'KLAC', 'EQT', 'COP', 'LMT', 'ORLY', 'FANG', 'CAH', 'NUE', 'HES', 'FSLR', 'CMG', 'TAP', 'OXY', 'MRK', 'VRTX', 'PTC', 'PCAR', 'FICO', 'AVGO', 'PCG', 'CBOE', 'MAR', 'ANET', 'URI', 'MNST')","(0.010000000000000139, 0.01, 0.01, 0.010000000000000014, 0.1500000000000013, 0.01, 0.01, 0.01, 0.01000000000000017, 0.01, 0.01, 0.010000000000000705, 0.01, 0.010000000000000092, 0.01, 0.3, 0.01, 0.01, 0.01, 0.01, 0.3, 0.01, 0.01, 0.010000000000000009, 0.010000000000000194, 0.01, 0.01, 0.01)",0.4112397143861938,2023-11-11 13:28:18.236455
