n_combination,best_combination,best_portfolio_weights,min_volatility,timestamp
20,"('HRL', 'BAX', 'CBOE', 'GIS', 'JNJ', 'ED', 'GILD', 'LW', 'CVX', 'AIZ', 'CVS', 'KMB', 'CF', 'LHX', 'INCY', 'HUM', 'D', 'WMT', 'AZO', 'MKC')","(0.06588492776495802, 0.01, 0.12795911524131892, 0.06573807219516783, 0.20419280115490274, 0.01, 0.010000000000000002, 0.01861649168252663, 0.0685257101793609, 0.048835088050918, 0.01, 0.13202053938130165, 0.01485509733510645, 0.014365960435081903, 0.06524733659117533, 0.03205102256990158, 0.010000000000000014, 0.06962256771757239, 0.012085269700707627, 0.010000000000000012)",0.122911992782391,2023-11-10 19:29:05.171868
9,"('INCY', 'MRK', 'CBOE', 'NOC', 'GIS', 'COR', 'TSN', 'KR', 'K')","(0.1259557671474461, 0.1651080540448547, 0.187651541126428, 0.04940315313770107, 0.08415340715781527, 0.08890128426511293, 0.08922700908662645, 0.05293214586147015, 0.1566676381725453)",0.130676303270326,2023-11-10 19:36:01.179579
17,"('DPZ', 'CBOE', 'LLY', 'CPB', 'K', 'MRNA', 'VLO', 'AIZ', 'BAX', 'AZO', 'PANW', 'NEM', 'SJM', 'GIS', 'MRK', 'VZ', 'KMB')","(0.03922378902155818, 0.15710207485681432, 0.010000000000000004, 0.010000000000000009, 0.07716645735851121, 0.010000000000000002, 0.04745101638732208, 0.05304500711894281, 0.01, 0.010000000000000002, 0.025117267927905893, 0.040507783453224575, 0.055963279461404836, 0.07887034465732155, 0.14403384636932615, 0.08659149233089074, 0.14492764105677777)",0.1266855101678955,2023-11-10 19:36:34.173959
42,"('EG', 'CME', 'GIS', 'HAL', 'NOC', 'TTWO', 'CBOE', 'ORLY', 'EPAM', 'DVA', 'NEM', 'DLTR', 'CAH', 'LVS', 'ABBV', 'LMT', 'CNC', 'VRTX', 'ROL', 'MO', 'BMY', 'K', 'INCY', 'HRL', 'CAG', 'CTRA', 'ED', 'VLO', 'PANW', 'KR', 'SJM', 'MRO', 'BKR', 'PSX', 'VZ', 'CHD', 'AZO', 'REGN', 'CI', 'TSN', 'COR', 'TRV')","(0.005, 0.0734550928470738, 0.037714417542927876, 0.005, 0.005, 0.03317039018501391, 0.09465580120004638, 0.01634465010518528, 0.005000000000000026, 0.037045327558759354, 0.011466143562308028, 0.005000000000000007, 0.005, 0.005, 0.04846279290236512, 0.0734057881656365, 0.005, 0.0050000000000000105, 0.005, 0.04861800836214348, 0.12289588975754831, 0.0908738818473591, 0.04365788336251267, 0.057216610364854155, 0.0050000000000000175, 0.005000000000000004, 0.005, 0.005000000000000013, 0.005000000000000009, 0.008513233109068017, 0.013288172295545726, 0.005, 0.005000000000000017, 0.005000000000000014, 0.05404748353051916, 0.006695377764860094, 0.005000000000000007, 0.005, 0.005, 0.013473055536273116, 0.005000000000000001, 0.005000000000000004)",0.1198161119057648,2023-11-10 19:45:46.538757
25,"('EA', 'MO', 'PXD', 'CPB', 'EG', 'PFE', 'CME', 'MKTX', 'TSN', 'MRK', 'GEN', 'CAH', 'CVS', 'EOG', 'CL', 'CHRW', 'JNJ', 'LHX', 'ROL', 'INCY', 'SLB', 'DLTR', 'AZO', 'KMB', 'BKR')","(0.09754519235278118, 0.07181065598175172, 0.01, 0.06478696139376715, 0.010856793714304779, 0.010000000000000021, 0.10417321047273409, 0.01, 0.03157416314156561, 0.08658904642427158, 0.01163023392708643, 0.01, 0.01, 0.01, 0.02538726074043881, 0.03715598995521134, 0.17992835136219418, 0.017419079042267957, 0.01, 0.06304552899575248, 0.010000000000000004, 0.010000000000000004, 0.01, 0.08809753249587267, 0.01)",0.1220903371206549,2023-11-10 19:52:53.522967
29,"('WMT', 'HUM', 'GIS', 'HES', 'AIZ', 'JNJ', 'D', 'CAG', 'T', 'FANG', 'CPB', 'FSLR', 'ED', 'NFLX', 'BAX', 'CBOE', 'TAP', 'DVA', 'CLX', 'XOM', 'EA', 'INCY', 'BMY', 'CTRA', 'EPAM', 'MO', 'MOS', 'AZO', 'CHRW')","(0.06450736055028523, 0.015368359992755709, 0.08041487260124325, 0.010000000000000004, 0.030792767448103144, 0.17606819593435521, 0.010000000000000005, 0.010000000000000012, 0.01, 0.010000000000000009, 0.04018211181659275, 0.01, 0.01, 0.010000000000000014, 0.010000000000000021, 0.1022771554282039, 0.01, 0.030697621732614838, 0.01, 0.01, 0.08908256634417276, 0.03208940165997281, 0.10029851771177997, 0.01000000000000001, 0.010000000000000005, 0.057661771773861906, 0.01, 0.01, 0.020559297006058682)",0.1210166598791154,2023-11-10 19:54:27.128713
33,"('SLB', 'LDOS', 'SJM', 'EA', 'REGN', 'CME', 'CL', 'MCK', 'CHD', 'D', 'BAX', 'MRO', 'K', 'BG', 'TTWO', 'MRK', 'DPZ', 'GIS', 'ELV', 'AMGN', 'CHRW', 'JNJ', 'TRV', 'BMY', 'KMB', 'NEM', 'MRNA', 'LHX', 'CLX', 'LVS', 'CVX', 'GILD', 'GEN')","(0.005, 0.010643304348565969, 0.03157369401447491, 0.08620342983469832, 0.005, 0.08682311828217976, 0.005000000000000007, 0.043755641933100095, 0.005, 0.005, 0.005000000000000006, 0.005, 0.10252112061503085, 0.0244221114552617, 0.006970997271581254, 0.04727815212180112, 0.024511240200745923, 0.024697314904619225, 0.005000000000000007, 0.030832140227681874, 0.040102332686691736, 0.14810385164905757, 0.02111089697988557, 0.0878683452776325, 0.05729098177448935, 0.020160129695062975, 0.005000000000000015, 0.005000000000000002, 0.005000000000000006, 0.01759924917645905, 0.019974014819608747, 0.005000000000000007, 0.007557932731371464)",0.1196212210939631,2023-11-10 19:56:44.774425
35,"('CL', 'TRV', 'GILD', 'CNC', 'TTWO', 'CPB', 'DLTR', 'TSN', 'EG', 'MCK', 'ORLY', 'ROL', 'DVA', 'PSX', 'FSLR', 'DG', 'AZO', 'CVX', 'KHC', 'CLX', 'MRK', 'ABBV', 'BKR', 'CBOE', 'CHRW', 'INCY', 'GEN', 'CVS', 'GIS', 'PGR', 'K', 'LDOS', 'KMB', 'CI', 'UNH')","(0.026918408726837557, 0.02129391191678541, 0.005, 0.005, 0.039595843989975, 0.005, 0.005, 0.032114328554820534, 0.005000000000000006, 0.051023354707794615, 0.005000000000000004, 0.005000000000000026, 0.0328223754381034, 0.02480889359705699, 0.006002628571688286, 0.005, 0.005, 0.02753941292508384, 0.007004405545821838, 0.005000000000000013, 0.10262628229306094, 0.06192280967929858, 0.0050000000000000044, 0.12215615234644475, 0.029638000390908133, 0.055405746057240184, 0.017850149669127863, 0.005000000000000001, 0.06052987371545895, 0.005, 0.0914772363128924, 0.008619350288338311, 0.10565083527326247, 0.005, 0.005000000000000005)",0.1225440801335225,2023-11-10 19:58:31.291505
15,"('VZ', 'TSN', 'PSX', 'MRK', 'INCY', 'FSLR', 'CLX', 'CF', 'LDOS', 'EA', 'COP', 'PANW', 'WMT', 'BMY', 'K')","(0.05238059151515505, 0.05056019742863465, 0.017961644526267948, 0.12084868886859079, 0.07090713721189071, 0.01, 0.01, 0.02399942734549849, 0.0236105039078161, 0.13784666036628004, 0.010000000000000004, 0.010000000000000002, 0.13599645129092328, 0.15210085907423987, 0.17378783846470292)",0.1241651938212435,2023-11-10 20:08:32.816087
18,"('LDOS', 'TSN', 'K', 'CHD', 'LHX', 'JNJ', 'CI', 'PGR', 'OXY', 'AIZ', 'DPZ', 'BKR', 'CME', 'KMB', 'CBOE', 'CAH', 'TRV', 'HRL')","(0.015517904182222852, 0.03633591435444255, 0.11252548967534304, 0.01, 0.02225796882439108, 0.2, 0.010000000000000004, 0.01, 0.010000000000000002, 0.027589201282658522, 0.03926578270536384, 0.029963697422526855, 0.09159039942804084, 0.12390968658174162, 0.12046969246166951, 0.012679252199207479, 0.04787123675667515, 0.08002377412571669)",0.1238728584191685,2023-11-10 20:08:47.972588
