n_combination,best_combination,best_portfolio_weights,max_sharpe_ratio,timestamp
25,"('BKR', 'EG', 'DHI', 'TMUS', 'CF', 'MPC', 'SNPS', 'OXY', 'GL', 'NUE', 'CVX', 'LLY', 'PGR', 'CAH', 'HAL', 'PXD', 'ACGL', 'PANW', 'NOC', 'PKG', 'FICO', 'AZO', 'IR', 'AJG', 'MCK')","(0.01, 0.01, 0.010000000000000538, 0.01000000000000003, 0.010000000000000224, 0.3, 0.010000000000000217, 0.09721503364634945, 0.01, 0.010000000000000139, 0.01, 0.09278496635364888, 0.010000000000000182, 0.01, 0.01, 0.010000000000000002, 0.01, 0.01, 0.01, 0.010000000000000168, 0.3, 0.010000000000000156, 0.010000000000000146, 0.010000000000000137, 0.01)",2.266996021285689,2023-11-11 11:34:50.640014
39,"('SLB', 'MAR', 'PSX', 'WRB', 'ANET', 'LMT', 'TMUS', 'APA', 'CTRA', 'HES', 'VLO', 'GWW', 'LVS', 'NOC', 'TT', 'CI', 'FANG', 'CTAS', 'HAL', 'MPC', 'EQT', 'ETN', 'GE', 'ACGL', 'XOM', 'WAB', 'MSI', 'TJX', 'PXD', 'LW', 'MMC', 'DHI', 'CAH', 'URI', 'ORCL', 'PGR', 'AZO', 'LLY', 'ROL')","(0.005, 0.005, 0.005000000000000382, 0.005000000000000576, 0.005, 0.005000000000000122, 0.005, 0.005, 0.005000000000000344, 0.005000000000000851, 0.005, 0.005, 0.0050000000000001025, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.3, 0.22000000000000178, 0.005, 0.005, 0.0050000000000002855, 0.005, 0.005, 0.005000000000000432, 0.0050000000000000495, 0.005, 0.005, 0.005, 0.005, 0.00500000000000067, 0.005000000000000109, 0.005000000000000056, 0.005, 0.005, 0.2999999999999999, 0.00500000000000016)",2.176848091432551,2023-11-11 11:43:53.218281
45,"('LMT', 'CDNS', 'GL', 'CPRT', 'PXD', 'URI', 'HUBB', 'CBOE', 'MRO', 'PCAR', 'AVGO', 'IR', 'LW', 'ETN', 'LIN', 'NVDA', 'EOG', 'GD', 'PH', 'IRM', 'NOC', 'TDG', 'MCK', 'PHM', 'APA', 'STLD', 'TT', 'REGN', 'HII', 'PCG', 'HAL', 'MPC', 'KLAC', 'GE', 'FSLR', 'SLB', 'EQT', 'LVS', 'BKNG', 'WMB', 'HWM', 'MNST', 'MAR', 'LLY', 'LDOS')","(0.005000000000000362, 0.005, 0.0050000000000001875, 0.005000000000000199, 0.005000000000000085, 0.005000000000000226, 0.005000000000000612, 0.0050000000000000695, 0.0050000000000002065, 0.0050000000000002464, 0.0050000000000004026, 0.005000000000000426, 0.005, 0.005000000000000068, 0.005000000000000868, 0.005, 0.005000000000000103, 0.005000000000000789, 0.005000000000000686, 0.005000000000000285, 0.005000000000000381, 0.005000000000000184, 0.005, 0.005000000000000068, 0.005000000000000626, 0.005, 0.005000000000000486, 0.005, 0.005000000000000462, 0.0050000000000003, 0.005000000000000253, 0.2999999999999963, 0.005000000000000129, 0.0050000000000003, 0.005, 0.005000000000000319, 0.18999999999999795, 0.005000000000000157, 0.005, 0.005000000000000309, 0.005000000000000124, 0.0050000000000001155, 0.005, 0.2999999999999974, 0.005000000000000204)",2.1327137086176315,2023-11-11 11:53:20.507020
48,"('APA', 'CTAS', 'CVX', 'PANW', 'ANET', 'WRB', 'TMUS', 'LIN', 'CAT', 'LVS', 'GD', 'CTRA', 'PCAR', 'CDNS', 'PWR', 'LW', 'TRGP', 'MNST', 'LLY', 'PGR', 'MAR', 'HUBB', 'PSX', 'BKR', 'STLD', 'CI', 'CAH', 'PTC', 'LDOS', 'HES', 'KLAC', 'COR', 'ROL', 'PKG', 'FICO', 'VLO', 'CMG', 'GWW', 'COP', 'ORLY', 'IT', 'SNPS', 'REGN', 'MPC', 'PXD', 'TT', 'NUE', 'AMGN')","(0.005000000000000411, 0.005000000000000368, 0.005000000000000565, 0.005000000000000293, 0.005, 0.005, 0.005, 0.005, 0.005000000000000496, 0.005000000000000377, 0.005, 0.005, 0.0050000000000000235, 0.005000000000000133, 0.0050000000000002594, 0.005000000000000068, 0.005, 0.005000000000000151, 0.17499999999999816, 0.005000000000000112, 0.005000000000000146, 0.005, 0.005000000000000103, 0.005000000000000112, 0.005, 0.005000000000000017, 0.005, 0.005000000000000328, 0.0050000000000004294, 0.005, 0.005000000000000171, 0.005000000000000021, 0.005000000000000532, 0.005000000000000171, 0.3, 0.005, 0.0050000000000000044, 0.005, 0.00500000000000007, 0.005, 0.005000000000000015, 0.0050000000000000955, 0.005, 0.3, 0.005000000000000105, 0.005, 0.005000000000000048, 0.0050000000000000495)",2.180167507814021,2023-11-11 11:58:52.220475
21,"('NVDA', 'AJG', 'AVGO', 'HWM', 'FICO', 'LVS', 'CBOE', 'CVX', 'MPC', 'PXD', 'CMG', 'BSX', 'WAB', 'LMT', 'OXY', 'LLY', 'XOM', 'PCG', 'TT', 'GE', 'GWW')","(0.01, 0.010000000000000031, 0.01, 0.01, 0.2999999999999999, 0.01000000000000048, 0.01, 0.010000000000000158, 0.3, 0.01, 0.010000000000000255, 0.010000000000000255, 0.010000000000000361, 0.010000000000000099, 0.11708136555266316, 0.11291863444733646, 0.01, 0.01, 0.010000000000000332, 0.010000000000000148, 0.01)",2.0769692411330176,2023-11-11 12:06:02.495038
5,"('FSLR', 'LLY', 'PWR', 'VRTX', 'ACGL')","(0.29999999999999993, 0.3, 0.010000000000000111, 0.08999999999999998, 0.29999999999999993)",1.9695817897786647,2023-11-11 12:26:08.543983
15,"('SLB', 'CDNS', 'HAL', 'TDG', 'HWM', 'PGR', 'LLY', 'SNPS', 'FANG', 'CVX', 'PHM', 'IT', 'OXY', 'EG', 'HES')","(0.010000000000000168, 0.010000000000000012, 0.010000000000000085, 0.01, 0.01, 0.010000000000000097, 0.3, 0.010000000000000028, 0.0100000000000002, 0.01, 0.01, 0.010000000000000009, 0.3, 0.010000000000000071, 0.2799999999999995)",1.8246781070261484,2023-11-11 12:27:03.703148
44,"('MRK', 'PCAR', 'HWM', 'APA', 'NOC', 'TRGP', 'PKG', 'FICO', 'CF', 'LLY', 'TT', 'LIN', 'DHI', 'HUBB', 'AXON', 'ACGL', 'NVDA', 'LMT', 'VLO', 'STLD', 'BSX', 'CVX', 'RCL', 'BKNG', 'TMUS', 'ORCL', 'AZO', 'TAP', 'CTRA', 'IR', 'URI', 'ANET', 'HII', 'MNST', 'HES', 'MAR', 'MMC', 'COR', 'CTAS', 'PTC', 'CMG', 'MCK', 'BKR', 'AVGO')","(0.005, 0.005, 0.005000000000000427, 0.0050000000000006315, 0.005000000000000376, 0.005000000000000013, 0.00500000000000039, 0.29999999999999943, 0.005000000000000251, 0.2999999999999986, 0.005000000000000053, 0.005000000000000108, 0.005000000000000295, 0.005, 0.005, 0.00500000000000031, 0.10132910733588855, 0.005000000000000078, 0.005000000000000255, 0.005000000000000001, 0.005, 0.005000000000000129, 0.005, 0.005, 0.005000000000000096, 0.005000000000000185, 0.005000000000000153, 0.005000000000000099, 0.005000000000000392, 0.005000000000000103, 0.005, 0.005, 0.005, 0.005000000000000033, 0.09867089266411029, 0.005000000000000046, 0.005000000000000177, 0.005000000000000078, 0.005, 0.00500000000000012, 0.005, 0.005000000000000006, 0.005, 0.005)",2.1608464564836063,2023-11-11 12:44:20.118725
12,"('SNA', 'BKR', 'CDNS', 'CBOE', 'LLY', 'CPRT', 'VRTX', 'PGR', 'RCL', 'OXY', 'NUE', 'MPC')","(0.01, 0.010000000000000139, 0.010000000000000037, 0.01, 0.3, 0.01, 0.01999999999999992, 0.010000000000000002, 0.01, 0.3, 0.01, 0.3)",2.0456202960641545,2023-11-11 12:56:41.705070
19,"('BSX', 'EQT', 'CDNS', 'FICO', 'PKG', 'APA', 'RCL', 'LVS', 'TAP', 'PTC', 'HAL', 'CF', 'MRK', 'ANET', 'PXD', 'CAH', 'DHI', 'MCK', 'XOM')","(0.01, 0.3, 0.010000000000000332, 0.3, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.24000000000000032, 0.010000000000000056, 0.010000000000001084, 0.01)",2.029249138930777,2023-11-11 12:57:20.941758
